"measure","value"
"n",9456
"mean_cate",0.0121286195648183
"sd_cate",0.00629471826489288
"median_cate",0.0116167318286846
"q25",0.00834330897979904
"q75",0.0160344085899634
"iqr",0.00769109961016432
"min",-0.0209838275684438
"max",0.0447042825341405
"range",0.0656881101025843
"prop_positive",0.974302030456853
"prop_negative",0.0256979695431472
"prop_benefit_gt2pct",0.102263113367174
"prop_harm_lt_neg2pct",0.00010575296108291
"coefficient_of_variation",0.518997090415143
